hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,label
0.7055156043126505,1.9430396984827247,4.299953588245546,5.411118517306624,-10.427283376261606,-6.407113346041418,-10.407505929109139,1
0.5307202954240806,1.2395079411694176,3.6907785978408927,4.42650416007684,8.619776083423467,5.233231895290789,8.652799304992593,1
0.5263507536675526,1.2147842217265756,4.336725514495822,5.033929533933661,9.995729445865358,6.405201151232721,-9.790570823012025,1
0.5730724249513774,1.372006230790871,3.9371770167561553,4.604804162324253,9.001477488478518,5.565925693662514,9.054352882196007,1
0.5448945530837921,1.2721182800654447,4.94808797899348,5.6809584133993525,12.092740805309335,-7.074590201764121,-10.996873570834593,1
0.7647682871152879,3.0444930819542244,4.445716710649558,6.429422277207984,12.482537842676848,-8.267428694853427,-11.880136155626579,2
0.762755019037845,2.945237410195767,5.35938951550743,6.024754659906126,11.718020038727346,8.418956170843805,12.847427074376299,2
0.17025708563992437,0.00025355418558318003,2.6218595895507252e-06,7.733725716437596e-07,6.145123728543459e-13,-3.067903384867656e-09,-9.138582765642217e-13,2
0.18770438425197833,0.003934266963925518,0.0012394439556001492,1.574678441618795e-05,-1.7194148570982904e-09,-7.866474115808956e-07,-1.3722737835075067e-09,3
0.39827830447645907,0.06968544243927452,0.01846074986547906,0.00035045407565270664,4.6374889456592687e-07,-1.6742496564692214e-05,7.61266187810744e-07,3
0.19878234082546964,0.000849856431081815,0.003436948910991332,3.9969137279541734e-05,-1.9819099111930137e-09,-1.16359609101721e-06,-1.4680872007616963e-08,3
